Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date,Price_Per_SQM,Amenity_Score,Listing_Month,Distance_to_CBD_KM
Muringa Road,Apartment,1,2,50,"Security, Parking",80000,For Rent,2025-12-17,1600.0,2,12,10.0
Slaughter,Apartment,2,2,80,"Security, Parking",17000,For Rent,2025-11-25,212.5,2,11,10.0
Kenyatta Road,House,4,4,180,"Security, Parking",7500000,For Sale,2026-01-28,41666.666666666664,2,1,10.0
Kilimani,Apartment,3,3,120,"Security, Parking",120000,For Rent,2026-01-05,1000.0,2,1,3.8
Kileleshwa,Apartment,2,2,80,"Security, Parking",65000,For Rent,2025-12-14,812.5,2,12,4.2
Hatheru Road,Apartment,3,4,120,"Security, Parking",80000,For Rent,2026-02-14,666.6666666666666,2,2,10.0
Lenana Road,Apartment,3,4,120,"Security, Parking",100000,For Rent,2026-02-08,833.3333333333334,2,2,10.0
Kilimani,Apartment,2,2,80,"Security, Parking",65000,For Rent,2025-12-21,812.5,2,12,3.8
New Kitisuru,Apartment,3,2,120,"Security, Parking",50000,For Rent,2025-12-18,416.6666666666667,2,12,10.0
Westlands,Apartment,2,2,80,"Security, Parking",160000,For Rent,2025-12-04,2000.0,2,12,5.2
Woodlands Rd,Apartment,2,2,80,"Security, Parking",90000,For Rent,2025-12-20,1125.0,2,12,10.0
Dennis Pritt,Apartment,3,3,120,"Security, Parking",90000,For Rent,2025-12-23,750.0,2,12,10.0
Kiambu Road,Townhouse,4,4,180,"Security, Parking",47000000,For Sale,2026-02-03,261111.11111111112,2,2,8.8
Ongata Rongai,House,5,5,250,"Security, Parking",40000000,For Sale,2026-01-27,160000.0,2,1,10.0
Membley,House,5,5,250,"Security, Parking",23000000,For Sale,2026-02-03,92000.0,2,2,10.0
Lower Kabete,House,5,5,250,"Security, Parking",160000000,For Sale,2025-12-20,640000.0,2,12,10.0
Waiyaki Way,Apartment,4,3,180,"Security, Parking",135000,For Rent,2026-01-21,750.0,2,1,10.0
Off Waiyaki Way,Townhouse,4,4,180,"Security, Parking",40000000,For Sale,2026-01-13,222222.22222222222,2,1,10.0
Brookside Drive,Apartment,2,2,150,"Security, Parking",150000,For Rent,2025-11-29,1000.0,2,11,10.0
Karen,Townhouse,4,4,180,"Security, Parking",75000000,For Sale,2026-01-17,416666.6666666667,2,1,13.5
Acacia Drive Off Ruaka Road,Apartment,3,3,120,"Security, Parking",110000,For Rent,2026-01-28,916.6666666666666,2,1,10.0
Waiyaki Way,Apartment,3,2,120,"Security, Parking",95000,For Rent,2025-12-26,791.6666666666666,2,12,10.0
Kileleshwa,Apartment,2,2,80,"Security, Parking",70000,For Rent,2026-02-15,875.0,2,2,4.2
Langata,House,4,4,180,"Security, Parking",17000000,For Sale,2025-12-27,94444.44444444444,2,12,11.3
Kilimani,Apartment,3,3,120,"Security, Parking",80000,For Rent,2026-01-29,666.6666666666666,2,1,3.8
Kilimani,Apartment,3,4,120,"Security, Parking",130000,For Rent,2026-02-06,1083.3333333333333,2,2,3.8
Syokimau,Townhouse,3,3,120,"Security, Parking",7250000,For Sale,2026-01-09,60416.666666666664,2,1,18.5
Kitisuru,House,4,4,180,"Security, Parking",115000000,For Sale,2026-02-13,638888.8888888889,2,2,10.2
Laikipia Road,Apartment,2,2,80,"Security, Parking",130000,For Rent,2026-01-13,1625.0,2,1,10.0
Kiambu Road,Villa,6,6,250,"Security, Parking",130000000,For Sale,2025-11-22,520000.0,2,11,8.8
Kilimani,Townhouse,3,3,120,"Security, Parking",35000000,For Sale,2025-12-16,291666.6666666667,2,12,3.8
Ruiru,Villa,4,4,180,"Security, Parking",21000000,For Sale,2026-01-08,116666.66666666667,2,1,10.0
Utange,Townhouse,4,4,180,"Security, Parking",16000000,For Sale,2025-12-25,88888.88888888889,2,12,10.0
Ruaka,Apartment,3,2,120,"Security, Parking",54000,For Rent,2026-01-12,450.0,2,1,12.3
Nyari,Apartment,1,1,50,"Security, Parking",100000,For Rent,2026-01-11,2000.0,2,1,10.0
Kiambu Road,Villa,4,4,180,"Security, Parking",28000000,For Sale,2026-01-09,155555.55555555556,2,1,8.8
Waiyaki Way,Apartment,3,2,120,"Security, Parking",100000,For Rent,2025-12-29,833.3333333333334,2,12,10.0
Kajiado County,Townhouse,4,4,180,"Security, Parking",12500000,For Sale,2025-12-28,69444.44444444444,2,12,10.0
Nyari Central,House,5,5,250,"Security, Parking",130000000,For Sale,2025-12-23,520000.0,2,12,10.0
Kahawa West,Apartment,3,2,120,"Security, Parking",70000,For Rent,2025-12-04,583.3333333333334,2,12,10.0
Riverside,Apartment,1,2,167,"Security, Parking",110000,For Rent,2026-02-16,658.6826347305389,2,2,2.5
Likoni Road,Apartment,3,2,120,"Security, Parking",48000,For Rent,2025-11-20,400.0,2,11,10.0
Lavington,Townhouse,4,4,180,"Security, Parking",67000000,For Sale,2025-12-09,372222.22222222225,2,12,4.5
Lavington,Apartment,4,3,180,"Security, Parking",130000,For Rent,2026-02-10,722.2222222222222,2,2,4.5
Westlands,Apartment,3,3,120,"Security, Parking",136000,For Rent,2025-12-17,1133.3333333333333,2,12,5.2
Kiserian,Villa,4,4,180,"Security, Parking",60000000,For Sale,2025-12-28,333333.3333333333,2,12,10.0
Gacharage,Apartment,2,2,80,"Security, Parking",37000,For Rent,2025-11-20,462.5,2,11,10.0
Ruiru,Villa,5,5,250,"Security, Parking",65000000,For Sale,2025-11-22,260000.0,2,11,10.0
Westlands,Apartment,3,3,120,"Security, Parking",160000,For Rent,2025-12-04,1333.3333333333333,2,12,5.2
Owashika Road,House,4,4,180,"Security, Parking",165000000,For Sale,2025-12-01,916666.6666666666,2,12,10.0
Nyali Area,House,5,5,250,"Security, Parking",25500000,For Sale,2025-11-27,102000.0,2,11,10.0
Thigiri,House,7,7,250,"Security, Parking",225000000,For Sale,2025-12-12,900000.0,2,12,10.0
Ruaka,Apartment,2,1,80,"Security, Parking",15000,For Rent,2026-01-22,187.5,2,1,12.3
Kilimani,Apartment,1,1,90,"Security, Parking",65000,For Rent,2026-01-26,722.2222222222222,2,1,3.8
Kikuyu,Townhouse,4,4,180,"Security, Parking",12000000,For Sale,2025-12-09,66666.66666666667,2,12,10.0
Westlands,House,4,4,180,"Security, Parking",39000000,For Sale,2025-12-30,216666.66666666666,2,12,5.2
Kilimani,Apartment,3,3,120,"Security, Parking",85000,For Rent,2025-11-26,708.3333333333334,2,11,3.8
Ngong,House,3,3,120,"Security, Parking",7600000,For Sale,2026-01-20,63333.333333333336,2,1,10.0
Nyali,House,4,4,180,"Security, Parking",90000000,For Sale,2025-11-22,500000.0,2,11,10.0
Kiambu Road,Villa,6,6,250,"Security, Parking",130000000,For Sale,2026-01-10,520000.0,2,1,8.8
Westlands,Apartment,3,4,120,"Security, Parking",150000,For Rent,2025-12-13,1250.0,2,12,5.2
Kiambu Road,Apartment,2,2,80,"Security, Parking",52000,For Rent,2025-12-04,650.0,2,12,8.8
Ngong,Townhouse,5,5,250,"Security, Parking",16000000,For Sale,2025-12-29,64000.0,2,12,10.0
Nyari Central Nairobi,House,5,5,250,"Security, Parking",130000000,For Sale,2026-02-15,520000.0,2,2,10.0
Off Rapta Rd,Apartment,2,2,80,"Security, Parking",80000,For Rent,2026-01-30,1000.0,2,1,10.0
Kilimani,Apartment,3,3,120,"Security, Parking",150000,For Rent,2025-12-03,1250.0,2,12,3.8
Parklands,Apartment,3,2,120,"Security, Parking",115000,For Rent,2026-01-31,958.3333333333334,2,1,4.8
Kileleshwa,Apartment,2,2,80,"Security, Parking",65000,For Rent,2026-02-02,812.5,2,2,4.2
Athi River,House,3,3,120,"Security, Parking",8000000,For Sale,2026-01-28,66666.66666666667,2,1,10.0
Thika Road,Apartment,3,3,120,"Security, Parking",145000,For Rent,2026-02-02,1208.3333333333333,2,2,10.0
Loresho,Townhouse,4,4,180,"Security, Parking",45000000,For Sale,2026-02-05,250000.0,2,2,7.5
Mkomani,Townhouse,4,4,180,"Security, Parking",105000000,For Sale,2026-02-13,583333.3333333334,2,2,10.0
Links Road Nyali,House,4,4,180,"Security, Parking",75000000,For Sale,2025-11-29,416666.6666666667,2,11,10.0
Westlands,Apartment,2,2,80,"Security, Parking",120000,For Rent,2025-11-21,1500.0,2,11,5.2
Ngong,House,4,4,180,"Security, Parking",16500000,For Sale,2025-12-07,91666.66666666667,2,12,10.0
Kileleshwa,Apartment,3,2,120,"Security, Parking",79000,For Rent,2026-01-16,658.3333333333334,2,1,4.2
Runda,Townhouse,4,4,180,"Security, Parking",80000000,For Sale,2025-11-26,444444.44444444444,2,11,9.8
Limuru Road,Apartment,1,1,4000,"Security, Parking",20000,For Rent,2026-01-23,5.0,2,1,10.0
Kangundo Rd,House,3,3,120,"Security, Parking",8150000,For Sale,2025-12-29,67916.66666666667,2,12,10.0
Riverside Grove,Apartment,3,3,279,"Security, Parking",175000,For Rent,2026-02-14,627.2401433691756,2,2,10.0
Kileleshwa,Apartment,3,3,120,"Security, Parking",80000,For Rent,2025-12-09,666.6666666666666,2,12,4.2
Kilimani,Townhouse,4,4,180,"Security, Parking",40000000,For Sale,2025-12-10,222222.22222222222,2,12,3.8
Lavington,Townhouse,4,4,180,"Security, Parking",60000000,For Sale,2025-12-02,333333.3333333333,2,12,4.5
Mwingi Rd,Apartment,3,3,23,"Security, Parking",160000,For Rent,2026-01-16,6956.521739130435,2,1,10.0
Mbaazi,Apartment,4,3,180,"Security, Parking",150000,For Rent,2025-12-29,833.3333333333334,2,12,10.0
Naivasha Road,Apartment,1,1,50,"Security, Parking",40000,For Rent,2026-01-11,800.0,2,1,10.0
Shanzu,House,3,3,120,"Security, Parking",40000000,For Sale,2026-01-20,333333.3333333333,2,1,10.0
Kilimani,Apartment,3,3,120,"Security, Parking",125000,For Rent,2026-01-20,1041.6666666666667,2,1,3.8
Westlands,Apartment,2,2,80,"Security, Parking",145000,For Rent,2026-01-06,1812.5,2,1,5.2
Waiyaki Way,Apartment,3,3,120,"Security, Parking",65000,For Rent,2026-01-04,541.6666666666666,2,1,10.0
Kilimani,Apartment,3,4,120,"Security, Parking",125000,For Rent,2025-11-20,1041.6666666666667,2,11,3.8
Off Riara Road,Apartment,3,2,186,"Security, Parking",95000,For Rent,2025-11-25,510.752688172043,2,11,10.0
Creekside Mtwapa,Villa,3,3,120,"Security, Parking",68000000,For Sale,2025-12-12,566666.6666666666,2,12,10.0
Off Dennis Pritt Road,Apartment,3,2,120,"Security, Parking",140000,For Rent,2026-01-13,1166.6666666666667,2,1,10.0
Lewa,House,3,3,120,"Security, Parking",72000000,For Sale,2026-01-01,600000.0,2,1,10.0
Ololua,Villa,5,5,250,"Security, Parking",16500000,For Sale,2026-02-16,66000.0,2,2,10.0
21 04 26,Apartment,3,3,186,"Security, Parking",90000,For Rent,2026-01-15,483.8709677419355,2,1,10.0
Nyali Area,House,4,4,180,"Security, Parking",33000000,For Sale,2026-02-15,183333.33333333334,2,2,10.0
Westlands,Apartment,2,2,80,"Security, Parking",120000,For Rent,2025-11-24,1500.0,2,11,5.2
Green Park,Townhouse,3,3,120,"Security, Parking",12500000,For Sale,2026-02-17,104166.66666666667,2,2,10.0
Lenana Road,Apartment,3,4,120,"Security, Parking",80000,For Rent,2025-12-08,666.6666666666666,2,12,10.0
Nairobi,House,4,4,180,"Security, Parking",31000000,For Sale,2025-11-29,172222.22222222222,2,11,10.0
Namanga Road,Townhouse,3,3,120,"Security, Parking",10500000,For Sale,2026-02-04,87500.0,2,2,10.0
Nairobi,House,6,6,250,"Security, Parking",120000000,For Sale,2025-12-16,480000.0,2,12,10.0
Lavington,Townhouse,5,5,250,"Security, Parking",75000000,For Sale,2026-02-05,300000.0,2,2,4.5
Brookside,Apartment,3,3,120,"Security, Parking",150000,For Rent,2026-02-12,1250.0,2,2,10.0
Kileleshwa,Apartment,2,1,80,"Security, Parking",60000,For Rent,2026-02-10,750.0,2,2,4.2
Kileleshwa,Apartment,2,3,80,"Security, Parking",160000,For Rent,2026-02-05,2000.0,2,2,4.2
Wuyi Plaza Galana Road,Apartment,3,2,120,"Security, Parking",102000,For Rent,2025-12-22,850.0,2,12,10.0
Fourways Junction,Townhouse,4,4,180,"Security, Parking",30000000,For Sale,2026-01-07,166666.66666666666,2,1,10.0
Thika Road,Apartment,2,2,80,"Security, Parking",40000,For Rent,2026-01-23,500.0,2,1,10.0
Ruiru,House,5,5,250,"Security, Parking",15500000,For Sale,2026-01-05,62000.0,2,1,10.0
Nyali Area,House,5,5,250,"Security, Parking",40000000,For Sale,2026-01-05,160000.0,2,1,10.0
Karen,House,5,5,250,"Security, Parking",95000000,For Sale,2026-02-01,380000.0,2,2,13.5
Near Valley Arcade,Apartment,3,3,193,"Security, Parking",130000,For Rent,2025-12-18,673.5751295336787,2,12,10.0
Muthaiga Area,Apartment,3,3,120,"Security, Parking",110000,For Rent,2025-12-22,916.6666666666666,2,12,10.0
Acacia Drive,Apartment,2,2,80,"Security, Parking",70000,For Rent,2026-01-13,875.0,2,1,10.0
Kitengela Road,House,3,3,120,"Security, Parking",16000000,For Sale,2025-11-29,133333.33333333334,2,11,10.0
Boma Road,House,4,4,180,"Security, Parking",17500000,For Sale,2026-01-26,97222.22222222222,2,1,10.0
Athi River,House,4,4,180,"Security, Parking",14000000,For Sale,2025-12-08,77777.77777777778,2,12,10.0
Brookside,Apartment,3,4,120,"Security, Parking",150000,For Rent,2026-01-17,1250.0,2,1,10.0
Riverside,Apartment,3,3,120,"Security, Parking",100000,For Rent,2026-02-16,833.3333333333334,2,2,2.5
Syokimau,House,4,4,180,"Security, Parking",15500000,For Sale,2025-12-04,86111.11111111111,2,12,18.5
Lavington,Apartment,2,2,80,"Security, Parking",130000,For Rent,2026-01-22,1625.0,2,1,4.5
Ushirka Road,House,5,5,250,"Security, Parking",110000000,For Sale,2025-12-16,440000.0,2,12,10.0
Westlands,Apartment,3,2,232,"Security, Parking",130000,For Rent,2025-12-12,560.3448275862069,2,12,5.2
Limuru Road,Apartment,2,2,130,"Security, Parking",35000,For Rent,2026-02-16,269.2307692307692,2,2,10.0
Ruaka,Apartment,1,1,50,"Security, Parking",25000,For Rent,2025-11-30,500.0,2,11,12.3
South C,House,4,4,180,"Security, Parking",20950000,For Sale,2026-01-05,116388.88888888889,2,1,6.5
Kamakis,House,4,4,180,"Security, Parking",12600000,For Sale,2026-02-12,70000.0,2,2,10.0
South C,House,3,3,120,"Security, Parking",12700000,For Sale,2025-11-27,105833.33333333333,2,11,6.5
Spring Valley,Apartment,2,1,130,"Security, Parking",160000,For Rent,2026-01-15,1230.7692307692307,2,1,6.1
Westlands,Apartment,3,3,120,"Security, Parking",120000,For Rent,2025-12-21,1000.0,2,12,5.2
Kileleshwa,Apartment,3,4,120,"Security, Parking",85000,For Rent,2026-02-01,708.3333333333334,2,2,4.2
Muthangari Drive,Apartment,2,2,91,"Security, Parking",110000,For Rent,2026-01-01,1208.7912087912089,2,1,10.0
Lavington,Townhouse,5,5,250,"Security, Parking",65000000,For Sale,2026-02-12,260000.0,2,2,4.5
Runda,House,5,5,250,"Security, Parking",105000000,For Sale,2025-12-26,420000.0,2,12,9.8
Parklands,Apartment,4,4,180,"Security, Parking",145000,For Rent,2025-11-24,805.5555555555555,2,11,4.8
Nyari,House,7,7,250,"Security, Parking",180000000,For Sale,2026-02-13,720000.0,2,2,10.0
Lavington,Apartment,3,3,120,"Security, Parking",130000,For Rent,2026-01-25,1083.3333333333333,2,1,4.5
Nyali Area,Townhouse,4,4,180,"Security, Parking",38000000,For Sale,2026-01-02,211111.11111111112,2,1,10.0
Ruiru,House,3,3,120,"Security, Parking",10500000,For Sale,2025-12-12,87500.0,2,12,10.0
Lavington,House,5,5,250,"Security, Parking",42000000,For Sale,2026-02-04,168000.0,2,2,4.5
Nairobi,House,6,6,250,"Security, Parking",120000000,For Sale,2026-01-16,480000.0,2,1,10.0
Kiambu Road,Townhouse,4,4,180,"Security, Parking",28000000,For Sale,2026-02-10,155555.55555555556,2,2,8.8
Rhino Park Road,Apartment,2,2,4500,"Security, Parking",50000,For Rent,2026-02-03,11.11111111111111,2,2,10.0
Kitisuru,Townhouse,4,4,180,"Security, Parking",135000000,For Sale,2025-12-14,750000.0,2,12,10.2
Donyo Sabuk Avenue,Apartment,4,5,180,"Security, Parking",175000,For Rent,2025-12-27,972.2222222222222,2,12,10.0
Waiyaki Way,Apartment,4,3,180,"Security, Parking",140000,For Rent,2026-01-22,777.7777777777778,2,1,10.0
Mbaazi,Apartment,2,2,80,"Security, Parking",140000,For Rent,2026-01-02,1750.0,2,1,10.0
Lavington,Apartment,3,2,120,"Security, Parking",55000,For Rent,2026-01-05,458.3333333333333,2,1,4.5
Peponi Road,Apartment,2,2,80,"Security, Parking",180000,For Rent,2025-12-05,2250.0,2,12,10.0
Muthaiga,House,5,5,250,"Security, Parking",270000000,For Sale,2025-12-25,1080000.0,2,12,7.2
Laikipia Road,Apartment,2,2,80,"Security, Parking",130000,For Rent,2026-01-25,1625.0,2,1,10.0
Westlands,Apartment,3,3,120,"Security, Parking",80000,For Rent,2026-02-08,666.6666666666666,2,2,5.2
Lavington,Apartment,3,3,120,"Security, Parking",90000,For Rent,2025-12-09,750.0,2,12,4.5
Lavington,Apartment,3,3,120,"Security, Parking",65000,For Rent,2026-02-13,541.6666666666666,2,2,4.5
Kenyatta Road,House,3,3,120,"Security, Parking",9500000,For Sale,2026-02-08,79166.66666666667,2,2,10.0
Parklands,Apartment,3,3,120,"Security, Parking",100000,For Rent,2026-02-05,833.3333333333334,2,2,4.8
Lavington,Apartment,3,4,120,"Security, Parking",140000,For Rent,2026-02-01,1166.6666666666667,2,2,4.5
Kiserian,House,3,3,120,"Security, Parking",5800000,For Sale,2025-11-24,48333.333333333336,2,11,10.0
Ngara,Apartment,3,2,120,"Security, Parking",60000,For Rent,2026-01-18,500.0,2,1,10.0
Runda,House,4,4,180,"Security, Parking",90000000,For Sale,2026-01-28,500000.0,2,1,9.8
Kileleshwa,Townhouse,4,4,180,"Security, Parking",34000000,For Sale,2025-12-17,188888.88888888888,2,12,4.2
Kileleshwa,Apartment,2,2,111,"Security, Parking",65000,For Rent,2025-12-17,585.5855855855856,2,12,4.2
Runda,House,5,5,250,"Security, Parking",250000000,For Sale,2026-01-22,1000000.0,2,1,9.8
Lavington,Townhouse,5,5,250,"Security, Parking",78000000,For Sale,2025-12-03,312000.0,2,12,4.5
Tiwi,Villa,5,5,250,"Security, Parking",55000000,For Sale,2025-12-26,220000.0,2,12,10.0
Naivasha Road,Apartment,2,2,80,"Security, Parking",40000,For Rent,2026-01-30,500.0,2,1,10.0
Mbaazi,Apartment,3,2,120,"Security, Parking",150000,For Rent,2025-11-23,1250.0,2,11,10.0
