Location,Property_Type,Bedrooms,Bathrooms,Size_SQM,Amenities,Price_KES,Listing_Type,Listing_Date
Muringa groove,Apartment,3,2,3,"Security, Parking",70000,For Rent,2026-02-03
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-29
Kileleshwa,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-10
Kiambu Rd,Apartment,3,3,3,"Security, Parking",50000,For Rent,2025-12-09
Rhapta road,Apartment,3,3,3,"Security, Parking",90000,For Rent,2026-01-06
Syokimau,House,4,4,0,"Security, Parking",15500000,For Sale,2026-02-08
Fourways Junction Estate,House,4,4,0,"Security, Parking",30000000,For Sale,2026-01-10
Tudor,House,5,5,0,"Security, Parking",58000000,For Sale,2026-01-06
General Mathenge,Apartment,3,3,3,"Security, Parking",120000,For Rent,2025-11-29
Ruaka,Apartment,3,3,3,"Security, Parking",60000,For Rent,2025-12-30
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-24
Tigoni,Villa,3,3,0,"Security, Parking",50000000,For Sale,2026-01-11
Dennis Pritt,Apartment,3,4,3,"Security, Parking",120000,For Rent,2025-12-07
Kileleshwa,Apartment,3,4,23,"Security, Parking",120000,For Rent,2026-01-18
South C,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-31
Riverside Drive,Apartment,1,1,7,"Security, Parking",140000,For Rent,2025-12-05
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-23
Kilimani,Apartment,2,2,2,"Security, Parking",140000,For Rent,2025-12-18
Runda,House,5,5,0,"Security, Parking",230000000,For Sale,2026-02-02
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-12
General Mathenge,House,4,4,0,"Security, Parking",69500000,For Sale,2026-01-02
Loresho,Townhouse,4,4,0,"Security, Parking",38000000,For Sale,2026-01-26
Langata,House,3,3,0,"Security, Parking",28000000,For Sale,2025-12-18
Jamhuri phase 1,Townhouse,3,3,0,"Security, Parking",16200000,For Sale,2025-11-28
Kiambu Road,House,4,4,0,"Security, Parking",32500000,For Sale,2026-01-22
Kileleshwa,Apartment,3,3,3,"Security, Parking",75000,For Rent,2026-02-10
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-13
Kilimani,Apartment,1,1,1,"Security, Parking",80000,For Rent,2026-01-31
Rhapta Road,Apartment,4,4,4,"Security, Parking",150000,For Rent,2026-02-05
Ruaka,Apartment,0,1,0,"Security, Parking",13000,For Rent,2025-12-09
Hurlingham,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-29
westlands,Apartment,1,1,1,"Security, Parking",120000,For Rent,2025-12-27
Westlands,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-25
Othaya,Apartment,1,1,1,"Security, Parking",120000,For Rent,2025-11-22
A104,House,4,4,0,"Security, Parking",38500000,For Sale,2025-12-22
Off Rhapta Road,Apartment,3,2,3,"Security, Parking",75000,For Rent,2025-12-23
Loresho,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-08
Riverside,Apartment,3,3,3,"Security, Parking",115000,For Rent,2025-12-20
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-06
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-02
Muringa road,Apartment,1,2,1,"Security, Parking",80000,For Rent,2025-12-17
SLAUGHTER,Apartment,2,2,2,"Security, Parking",17000,For Rent,2025-11-25
Kenyatta Road,House,4,4,0,"Security, Parking",7500000,For Sale,2026-01-28
Kilimani,Apartment,3,3,3,"Security, Parking",120000,For Rent,2026-01-05
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-21
Kileleshwa,Apartment,2,2,2,"Security, Parking",65000,For Rent,2025-12-14
hatheru road,Apartment,3,4,3,"Security, Parking",80000,For Rent,2026-02-14
Lenana road,Apartment,3,4,3,"Security, Parking",100000,For Rent,2026-02-08
Kilimani,Apartment,2,2,2,"Security, Parking",65000,For Rent,2025-12-21
Thika Road,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-13
New Kitisuru,Apartment,3,2,3,"Security, Parking",50000,For Rent,2025-12-18
Westlands Area,Apartment,2,2,2,"Security, Parking",160000,For Rent,2025-12-04
Loresho,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-18
Woodlands Rd,Apartment,2,2,2,"Security, Parking",90000,For Rent,2025-12-20
Dennis pritt,Apartment,3,3,3,"Security, Parking",90000,For Rent,2025-12-23
Kiambu Road,Townhouse,4,4,0,"Security, Parking",47000000,For Sale,2026-02-03
Donholm,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-11-21
Ongata Rongai,House,5,5,0,"Security, Parking",40000000,For Sale,2026-01-27
Membley,House,5,5,0,"Security, Parking",23000000,For Sale,2026-02-03
Lower Kabete,House,5,5,0,"Security, Parking",160000000,For Sale,2025-12-20
Waiyaki Way,Apartment,4,3,4,"Security, Parking",135000,For Rent,2026-01-21
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-22
Westlands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-20
Runda,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-14
Off waiyaki way,Townhouse,4,4,0,"Security, Parking",40000000,For Sale,2026-01-13
Brookside Drive,Apartment,2,2,150,"Security, Parking",150000,For Rent,2025-11-29
Karen,Townhouse,4,4,0,"Security, Parking",75000000,For Sale,2026-01-17
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-05
Acacia Drive Off Ruaka Road,Apartment,3,3,3,"Security, Parking",110000,For Rent,2026-01-28
Waiyaki Way,Apartment,3,2,3,"Security, Parking",95000,For Rent,2025-12-26
Kileleshwa,Apartment,2,2,2,"Security, Parking",70000,For Rent,2026-02-15
Rosslyn,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-04
Langata,House,4,4,0,"Security, Parking",17000000,For Sale,2025-12-27
kilimani,Apartment,3,3,3,"Security, Parking",80000,For Rent,2026-01-29
Kilimani,Apartment,3,4,3,"Security, Parking",130000,For Rent,2026-02-06
Syokimau,Townhouse,3,3,0,"Security, Parking",7250000,For Sale,2026-01-09
Kitisuru,House,4,4,0,"Security, Parking",115000000,For Sale,2026-02-13
Garden Estate,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-05
Syokimau,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-05
Laikipia Road,Apartment,2,2,2,"Security, Parking",130000,For Rent,2026-01-13
Kiambu Road,Villa,6,6,0,"Security, Parking",130000000,For Sale,2025-11-22
Kilimani,Townhouse,3,3,0,"Security, Parking",35000000,For Sale,2025-12-16
Rosslyn,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-13
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-30
Ruiru,Villa,4,4,0,"Security, Parking",21000000,For Sale,2026-01-08
Utange,Townhouse,4,4,0,"Security, Parking",16000000,For Sale,2025-12-25
Spring Valley,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-10
Ruaka,Apartment,3,2,3,"Security, Parking",54000,For Rent,2026-01-12
Nyari,Apartment,1,1,1,"Security, Parking",100000,For Rent,2026-01-11
Kiambu Road,Villa,4,4,0,"Security, Parking",28000000,For Sale,2026-01-09
Karen,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-07
Waiyaki Way,Apartment,3,2,3,"Security, Parking",100000,For Rent,2025-12-29
Kajiado County,Townhouse,4,4,0,"Security, Parking",12500000,For Sale,2025-12-28
Nyari Central,House,5,5,0,"Security, Parking",130000000,For Sale,2025-12-23
Kahawa West,Apartment,3,2,3,"Security, Parking",70000,For Rent,2025-12-04
Muthaiga,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-31
Riverside,Apartment,1,2,167,"Security, Parking",110000,For Rent,2026-02-16
Likoni Road,Apartment,3,2,3,"Security, Parking",48000,For Rent,2025-11-20
Kileleshwa,Apartment,0,1,0,"Security, Parking",30000,For Rent,2025-12-03
Lavington,Townhouse,4,4,0,"Security, Parking",67000000,For Sale,2025-12-09
Lavington,Apartment,4,3,4,"Security, Parking",130000,For Rent,2026-02-10
Rhapta Road,Apartment,3,3,3,"Security, Parking",136000,For Rent,2025-12-17
Kiserian,Villa,4,4,0,"Security, Parking",60000000,For Sale,2025-12-28
Gacharage,Apartment,2,2,2,"Security, Parking",37000,For Rent,2025-11-20
Ruiru,Villa,5,5,0,"Security, Parking",65000000,For Sale,2025-11-22
Rhapta Road,Apartment,3,3,3,"Security, Parking",160000,For Rent,2025-12-04
Owashika road,House,4,4,0,"Security, Parking",165000000,For Sale,2025-12-01
Kasarani,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-15
Nyali Area,House,5,5,0,"Security, Parking",25500000,For Sale,2025-11-27
Thigiri,House,7,7,0,"Security, Parking",225000000,For Sale,2025-12-12
Buruburu,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-29
Donholm,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-16
Ruaka,Apartment,2,1,2,"Security, Parking",15000,For Rent,2026-01-22
Kilimani,Apartment,1,1,90,"Security, Parking",65000,For Rent,2026-01-26
KIKUYU,Townhouse,4,4,0,"Security, Parking",12000000,For Sale,2025-12-09
Westlands Area,House,4,4,0,"Security, Parking",39000000,For Sale,2025-12-30
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-15
Kilimani,Apartment,3,3,3,"Security, Parking",85000,For Rent,2025-11-26
Runda,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-13
Ngong,House,3,3,0,"Security, Parking",7600000,For Sale,2026-01-20
Nyali,House,4,4,0,"Security, Parking",90000000,For Sale,2025-11-22
Karen,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-06
Langata,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-22
Kiambu Road,Villa,6,6,0,"Security, Parking",130000000,For Sale,2026-01-10
Rhapta Road,Apartment,3,4,3,"Security, Parking",150000,For Rent,2025-12-13
Kiambu Road,Apartment,2,2,2,"Security, Parking",52000,For Rent,2025-12-04
Ngong,Townhouse,5,5,0,"Security, Parking",16000000,For Sale,2025-12-29
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-02
Nyari central Nairobi,House,5,5,0,"Security, Parking",130000000,For Sale,2026-02-15
Off Rapta Rd,Apartment,2,2,2,"Security, Parking",80000,For Rent,2026-01-30
Parklands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-13
Kilimani,Apartment,3,3,3,"Security, Parking",150000,For Rent,2025-12-03
Parklands,Apartment,3,2,3,"Security, Parking",115000,For Rent,2026-01-31
Kileleshwa,Apartment,2,2,2,"Security, Parking",65000,For Rent,2026-02-02
Athi River,House,3,3,0,"Security, Parking",8000000,For Sale,2026-01-28
Thika Road,Apartment,3,3,3,"Security, Parking",145000,For Rent,2026-02-02
Westlands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-25
Loresho,Townhouse,4,4,0,"Security, Parking",45000000,For Sale,2026-02-05
Mkomani,Townhouse,4,4,0,"Security, Parking",105000000,For Sale,2026-02-13
links road Nyali,House,4,4,0,"Security, Parking",75000000,For Sale,2025-11-29
Westlands Area,Apartment,2,2,2,"Security, Parking",120000,For Rent,2025-11-21
Ngong,House,4,4,0,"Security, Parking",16500000,For Sale,2025-12-07
Kileleshwa,Apartment,3,2,3,"Security, Parking",79000,For Rent,2026-01-16
Runda,Townhouse,4,4,0,"Security, Parking",80000000,For Sale,2025-11-26
Limuru Road,Apartment,1,1,4000,"Security, Parking",20000,For Rent,2026-01-23
Kangundo Rd,House,3,3,0,"Security, Parking",8150000,For Sale,2025-12-29
Riverside Grove,Apartment,3,3,279,"Security, Parking",175000,For Rent,2026-02-14
kileleshwa,Apartment,3,3,3,"Security, Parking",80000,For Rent,2025-12-09
Kilimani,Townhouse,4,4,0,"Security, Parking",40000000,For Sale,2025-12-10
Lavington,Townhouse,4,4,0,"Security, Parking",60000000,For Sale,2025-12-02
Kileleshwa,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-04
Mwingi Rd,Apartment,3,3,23,"Security, Parking",160000,For Rent,2026-01-16
Mbaazi,Apartment,4,3,4,"Security, Parking",150000,For Rent,2025-12-29
Rongai,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-07
Rosslyn,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-26
Naivasha Road,Apartment,1,1,1,"Security, Parking",40000,For Rent,2026-01-11
Westlands,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-08
shanzu,House,3,3,0,"Security, Parking",40000000,For Sale,2026-01-20
kilimani,Apartment,3,3,3,"Security, Parking",125000,For Rent,2026-01-20
Westlands Area,Apartment,2,2,2,"Security, Parking",145000,For Rent,2026-01-06
Waiyaki Way,Apartment,3,3,3,"Security, Parking",65000,For Rent,2026-01-04
Kilimani,Apartment,3,4,3,"Security, Parking",125000,For Rent,2025-11-20
Off Riara Road,Apartment,3,2,186,"Security, Parking",95000,For Rent,2025-11-25
Creekside Mtwapa,Villa,3,3,0,"Security, Parking",68000000,For Sale,2025-12-12
Off Dennis Pritt Road,Apartment,3,2,3,"Security, Parking",140000,For Rent,2026-01-13
Lewa,House,3,3,0,"Security, Parking",72000000,For Sale,2026-01-01
Ololua,Villa,5,5,0,"Security, Parking",16500000,For Sale,2026-02-16
21 04 26,Apartment,3,3,186,"Security, Parking",90000,For Rent,2026-01-15
Ridgeways,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-20
Embakasi,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-12
Gigiri,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-17
Nyali Area,House,4,4,0,"Security, Parking",33000000,For Sale,2026-02-15
Westlands Area,Apartment,2,2,2,"Security, Parking",120000,For Rent,2025-11-24
Lavington,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-15
Green Park,Townhouse,3,3,0,"Security, Parking",12500000,For Sale,2026-02-17
Lenana Road,Apartment,3,4,3,"Security, Parking",80000,For Rent,2025-12-08
Nairobi,House,4,4,0,"Security, Parking",31000000,For Sale,2025-11-29
Namanga Road,Townhouse,3,3,0,"Security, Parking",10500000,For Sale,2026-02-04
90,House,6,6,0,"Security, Parking",120000000,For Sale,2025-12-16
Langata,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-06
Langata,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-25
Lavington,Townhouse,5,5,0,"Security, Parking",75000000,For Sale,2026-02-05
Brookside,Apartment,3,3,3,"Security, Parking",150000,For Rent,2026-02-12
Kileleshwa,Apartment,2,1,2,"Security, Parking",60000,For Rent,2026-02-10
Donholm,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-24
Kileleshwa,Apartment,2,3,2,"Security, Parking",160000,For Rent,2026-02-05
Wuyi Plaza Galana Road,Apartment,3,2,3,"Security, Parking",102000,For Rent,2025-12-22
Fourways Junction,Townhouse,4,4,0,"Security, Parking",30000000,For Sale,2026-01-07
Thika Road,Apartment,2,2,2,"Security, Parking",40000,For Rent,2026-01-23
Ruiru,House,5,5,0,"Security, Parking",15500000,For Sale,2026-01-05
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-23
Nyali Area,House,5,5,0,"Security, Parking",40000000,For Sale,2026-01-05
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-27
Karen,House,5,5,0,"Security, Parking",95000000,For Sale,2026-02-01
Near Valley Arcade,Apartment,3,3,193,"Security, Parking",130000,For Rent,2025-12-18
Muthaiga Area,Apartment,3,3,3,"Security, Parking",110000,For Rent,2025-12-22
Acacia Drive,Apartment,2,2,2,"Security, Parking",70000,For Rent,2026-01-13
Kitengela road,House,3,3,0,"Security, Parking",16000000,For Sale,2025-11-29
Boma Road,House,4,4,0,"Security, Parking",17500000,For Sale,2026-01-26
Athi River,House,4,4,0,"Security, Parking",14000000,For Sale,2025-12-08
Brookside,Apartment,3,4,3,"Security, Parking",150000,For Rent,2026-01-17
Riverside,Apartment,3,3,3,"Security, Parking",100000,For Rent,2026-02-16
Loresho,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-17
Kitisuru,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-06
Syokimau,House,4,4,0,"Security, Parking",15500000,For Sale,2025-12-04
Lavington,Apartment,2,2,2,"Security, Parking",130000,For Rent,2026-01-22
Ushirka road,House,5,5,0,"Security, Parking",110000000,For Sale,2025-12-16
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-07
Rhapta Road,Apartment,3,2,232,"Security, Parking",130000,For Rent,2025-12-12
Limuru Road,Apartment,2,2,130,"Security, Parking",35000,For Rent,2026-02-16
Ruaka,Apartment,1,1,1,"Security, Parking",25000,For Rent,2025-11-30
South C,House,4,4,0,"Security, Parking",20950000,For Sale,2026-01-05
Kamakis,House,4,4,0,"Security, Parking",12600000,For Sale,2026-02-12
Donholm,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-25
South C,House,3,3,0,"Security, Parking",12700000,For Sale,2025-11-27
Roysambu,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-29
Spring Valley,Apartment,2,1,130,"Security, Parking",160000,For Rent,2026-01-15
Kileleshwa,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-02-06
Rhapta Road,Apartment,3,3,3,"Security, Parking",120000,For Rent,2025-12-21
Kileleshwa,Apartment,3,4,3,"Security, Parking",85000,For Rent,2026-02-01
Muthangari Drive,Apartment,2,2,91,"Security, Parking",110000,For Rent,2026-01-01
Lavington,Townhouse,5,5,0,"Security, Parking",65000000,For Sale,2026-02-12
Runda,House,5,5,0,"Security, Parking",105000000,For Sale,2025-12-26
Parklands,Apartment,4,4,4,"Security, Parking",145000,For Rent,2025-11-24
Westlands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-21
Nyari,House,7,7,0,"Security, Parking",180000000,For Sale,2026-02-13
Lavington,Apartment,3,3,3,"Security, Parking",130000,For Rent,2026-01-25
Nyali Area,Townhouse,4,4,0,"Security, Parking",38000000,For Sale,2026-01-02
Ruiru,House,3,3,0,"Security, Parking",10500000,For Sale,2025-12-12
Lavington,House,5,5,0,"Security, Parking",42000000,For Sale,2026-02-04
80,House,6,6,0,"Security, Parking",120000000,For Sale,2026-01-16
Kiambu Road,Townhouse,4,4,0,"Security, Parking",28000000,For Sale,2026-02-10
Rhino park road,Apartment,2,2,4500,"Security, Parking",50000,For Rent,2026-02-03
Kitisuru,Townhouse,4,4,0,"Security, Parking",135000000,For Sale,2025-12-14
Donyo Sabuk Avenue,Apartment,4,5,4,"Security, Parking",175000,For Rent,2025-12-27
Waiyaki Way,Apartment,4,3,4,"Security, Parking",140000,For Rent,2026-01-22
Mbaazi,Apartment,2,2,2,"Security, Parking",140000,For Rent,2026-01-02
Lavington,Apartment,3,2,3,"Security, Parking",55000,For Rent,2026-01-05
Peponi road,Apartment,2,2,2,"Security, Parking",180000,For Rent,2025-12-05
Muthaiga,House,5,5,0,"Security, Parking",270000000,For Sale,2025-12-25
Laikipia Road,Apartment,2,2,2,"Security, Parking",130000,For Rent,2026-01-25
Rhapta road,Apartment,3,3,3,"Security, Parking",80000,For Rent,2026-02-08
Lavington,Apartment,3,3,3,"Security, Parking",90000,For Rent,2025-12-09
Lavington,Apartment,3,3,3,"Security, Parking",65000,For Rent,2026-02-13
Kenyatta Road,House,3,3,0,"Security, Parking",9500000,For Sale,2026-02-08
Parklands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-15
Parklands,Apartment,3,3,3,"Security, Parking",100000,For Rent,2026-02-05
Buruburu,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-09
Lavington,Apartment,3,4,3,"Security, Parking",140000,For Rent,2026-02-01
Kiserian,House,3,3,0,"Security, Parking",5800000,For Sale,2025-11-24
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-01-16
Parklands,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-11-23
Ngara,Apartment,3,2,3,"Security, Parking",60000,For Rent,2026-01-18
Runda,House,4,4,0,"Security, Parking",90000000,For Sale,2026-01-28
Kileleshwa,Townhouse,4,4,0,"Security, Parking",34000000,For Sale,2025-12-17
Kileleshwa,Apartment,2,2,111,"Security, Parking",65000,For Rent,2025-12-17
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Rent,2026-02-06
Runda,House,5,5,0,"Security, Parking",250000000,For Sale,2026-01-22
Lavington,Townhouse,5,5,0,"Security, Parking",78000000,For Sale,2025-12-03
Tiwi,Villa,5,5,0,"Security, Parking",55000000,For Sale,2025-12-26
Naivasha Road,Apartment,2,2,2,"Security, Parking",40000,For Rent,2026-01-30
Mbaazi,Apartment,3,2,3,"Security, Parking",150000,For Rent,2025-11-23
Karen,Apartment,0,1,35,"Security, Parking",0,For Sale,2025-12-16
Ruaka,Apartment,0,1,35,"Security, Parking",0,For Rent,2025-12-08
Hardy,House,4,4,0,"Security, Parking",95000000,For Sale,2025-12-06
General Mathenge,Apartment,3,3,23,"Security, Parking",170000,For Rent,2026-02-15
Kileleshwa,Apartment,2,2,2,"Security, Parking",70000,For Rent,2025-12-17
Kileleshwa,Apartment,3,2,3,"Security, Parking",65000,For Rent,2026-02-11
Naivasha Road,Apartment,3,2,3,"Security, Parking",45000,For Rent,2025-11-26
Ruiru,House,5,5,0,"Security, Parking",20000000,For Sale,2025-12-15
Kilimani,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-21
Donholm,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-06
Upperhill,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-30
Kizingo,Townhouse,4,4,0,"Security, Parking",85000000,For Sale,2026-02-14
General Mathenge,Apartment,4,4,24,"Security, Parking",160000,For Rent,2026-01-23
Rongai,Apartment,0,1,35,"Security, Parking",0,For Sale,2026-01-26
